"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.042968750E3,4.114976703E0
1.044433594E3,4.963037167E0
1.045898438E3,1.596902844E0
1.047363281E3,2.589457250E0
1.048828125E3,8.839226436E-1
1.050292969E3,3.468949065E0
1.051757812E3,1.822018722E0
1.053222656E3,4.798485277E-1
1.054687500E3,1.532642820E0
1.056152344E3,2.467175639E0
1.057617188E3,5.724850381E0
1.059082031E3,2.206510552E0
1.060546875E3,3.261015557E0
1.062011719E3,5.489998888E0
1.063476562E3,4.108584040E0
1.064941406E3,2.260463162E0
1.066406250E3,5.377532927E0
1.067871094E3,1.364973721E0
1.069335938E3,3.450211448E0
1.070800781E3,6.959919120E0
1.072265625E3,4.349921594E0
1.073730469E3,2.718385859E0
1.075195312E3,3.856637674E-1
1.076660156E3,2.625688339E0
1.078125000E3,5.945291594E0
1.079589844E3,7.100991721E0
1.081054688E3,3.826117393E0
1.082519531E3,2.235013492E0
1.083984375E3,1.833949297E0
1.085449219E3,3.541935679E0
1.086914062E3,1.277171645E0
1.088378906E3,3.244819551E0
1.089843750E3,2.142721949E0
1.091308594E3,5.388451640E0
1.092773438E3,7.521777503E0
1.094238281E3,5.888605325E0
1.095703125E3,5.141120199E0
1.097167969E3,4.677655517E0
1.098632812E3,1.292849200E0
1.100097656E3,1.304814061E0
1.101562500E3,5.796573920E0
1.103027344E3,1.498231549E0
1.104492188E3,4.674578009E0
1.105957031E3,9.519991323E-1
1.107421875E3,5.781707676E0
1.108886719E3,2.259576229E0
1.110351562E3,2.946809042E0
1.111816406E3,4.305385553E0
1.113281250E3,3.999887136E0
1.114746094E3,4.528545897E0
1.116210938E3,2.607455614E0
1.117675781E3,2.153938070E0
1.119140625E3,5.013406721E0
1.120605469E3,1.833426131E0
1.122070312E3,5.508655456E0
1.123535156E3,3.923097904E0
1.125000000E3,3.850316425E-1
1.126464844E3,3.055224516E0
1.127929688E3,5.355089678E0
1.129394531E3,6.158499774E0
1.130859375E3,1.404647434E0
1.132324219E3,3.964276445E0
1.133789062E3,6.794697758E0
1.135253906E3,3.443409800E0
1.136718750E3,3.430313281E0
1.138183594E3,4.471524363E0
1.139648438E3,4.152447977E0
1.141113281E3,4.331855345E0
